name,salary,published_at,area_name
Менеджер по маркетингу,,2003-09-15 00:00:00+04:00,Москва
IT - АДМИНИСТРАТОР СИСТЕМЫ ТОВАРНОГО УЧЕТА,27552.0,2003-10-06 00:00:00+04:00,Москва
Администратор  (OEBS),30380.0,2003-07-23 14:44:49+04:00,Москва
Системный администратор,,2003-07-23 16:07:50+04:00,Москва
Telecommunication Analyst,51474.0,2003-08-20 00:00:00+04:00,Москва
Web  Content Manager,27552.0,2003-10-07 00:00:00+04:00,Москва
Менеджер по производству в иностранную телекоммуникационную компанию (спутниковая связь),,2003-07-24 13:01:41+04:00,Москва
Программист-разработчик на Access в крупную компьютерную компанию.,21195.0,2003-08-20 00:00:00+04:00,Москва
"Глава Департамента IT технологий крупной розничной сети (FMCG) (Москва, Код: AAWW)",,2003-07-24 15:49:11+04:00,Москва
"Менеджер по продажам телекоммуникационных услуг (Москва, Код: AN-TK)",,2003-07-24 15:54:27+04:00,Москва
Менеджер по региональным продажам в дилерский отдел компании-дистрибутора компьютерной техники.,30614.0,2003-10-07 00:00:00+04:00,Москва
Старший ПРОДАКТ МЕНЕДЖЕР по продукции Maxtor,122456.0,2003-10-07 00:00:00+04:00,Москва
Руководитель/ старший менеджер отдела веб-девелопмента,,2003-07-25 12:44:14+04:00,Москва
Software Engineer.,,2003-12-26 00:00:00+03:00,Нижний Новгород
Software Marketing Program Manager.,,2003-10-16 00:00:00+04:00,Москва
Sales Manager (sectors: Banking and Finance),,2003-10-10 00:00:00+04:00,Москва
Директор по международным продажам и развитию бизнеса,,2003-10-10 00:00:00+04:00,Москва
Sales Manager,,2003-10-10 00:00:00+04:00,Москва
Sales Manager,,2003-10-10 00:00:00+04:00,Москва
"Sales Manager (sectors: Industrial, Retail)",,2003-10-10 00:00:00+04:00,Москва
Менеджер по продажам,,2003-10-10 00:00:00+04:00,Москва
Менеджер по продажам,,2003-10-06 00:00:00+04:00,Москва
"Sales Manager (sectors: Government, Public)",,2003-10-06 00:00:00+04:00,Москва
Менеджер по работе с корпоративными клиентами,,2003-10-10 00:00:00+04:00,Москва
Sales Representative,,2003-08-21 00:00:00+04:00,Москва
"Sales Manager (sectors: Government, Banks)",,2003-10-06 00:00:00+04:00,Москва
Старший консультант/консультант (отдел методологии бухгалтерского учета),,2003-08-25 00:00:00+04:00,Москва
Менеджер Интернет проектов,45921.0,2003-10-07 00:00:00+04:00,Москва
Системный администратор,30279.0,2003-08-25 00:00:00+04:00,Москва
ИТ специалист (SAP R/3),90837.0,2003-08-26 00:00:00+04:00,Москва
Администратор баз данных SAP R/3,60558.0,2003-08-26 00:00:00+04:00,Москва
Менеджер по продажам проектов,60761.0,2003-07-29 12:17:44+04:00,Санкт-Петербург
Сетевой администратор,,2003-09-23 00:00:00+04:00,Москва
Программист 1С,,2003-09-19 00:00:00+04:00,Москва
"Архитектор (VB, ASP)",21195.0,2003-08-27 00:00:00+04:00,Санкт-Петербург
"Менеджер по продаже профессионального видео-, аудиооборудования",,2003-08-25 00:00:00+04:00,Москва
Администратор финансовых информационных систем и Oracle,45921.0,2003-10-06 00:00:00+04:00,Москва
Supply Business Process Development Coordinator,38129.0,2003-09-19 00:00:00+04:00,Москва
Старший Консультант SAP R/3 (модуль MM).,,2003-10-17 00:00:00+04:00,Москва
"Консультант SAP R/3 (CO, FI).",,2003-09-17 00:00:00+04:00,Москва
Заместитель начальника отдела закупок,151395.0,2003-08-25 00:00:00+04:00,Москва
Sales Manager,,2003-10-06 00:00:00+04:00,Москва
Sales Manager,,2003-10-10 00:00:00+04:00,Москва
Sales Manager,,2003-10-06 00:00:00+04:00,Москва
Менеджер по ведению маркетинговых проектов,,2003-09-22 00:00:00+04:00,Москва
Программист Visual C++,15139.0,2003-08-25 00:00:00+04:00,Санкт-Петербург
Инженер-конструктор,15139.0,2003-08-25 00:00:00+04:00,Санкт-Петербург
Менеджер по маркетингу,21195.0,2003-08-27 00:00:00+04:00,Санкт-Петербург
Специалист группы контроля качества,,2003-08-28 00:00:00+04:00,Москва
