name,salary_from,salary_to,salary_currency,area_name,published_at
Руководитель отдела (автоматизация),80000.0,120000.0,RUR,Новосибирск,2022-12-05T05:47:13+0300
Оператор станков с программным управлением,40000.0,,RUR,Глазов,2022-12-05T07:06:31+0300
Наладчик технологического оборудования,50000.0,62000.0,RUR,Навашино,2022-12-05T07:38:46+0300
Консультант-аналитик 1С,80000.0,120000.0,RUR,Новосибирск,2022-12-05T07:02:45+0300
Главный механик обогатительной фабрики,,,,Астана,2022-12-05T07:19:31+0300
Инженер-программист 1С,50000.0,,RUR,Миасс,2022-12-05T06:43:16+0300
Программист 1С (удалённо),,150000.0,RUR,Новокузнецк,2022-12-05T07:56:31+0300
Шлифовщик 4-5 разряд,25000.0,40000.0,RUR,Очер,2022-12-05T06:37:27+0300
Механик,100000.0,160000.0,RUR,Хабаровск,2022-12-05T05:35:26+0300
Программист,42750.0,,RUR,Екатеринбург,2022-12-05T06:47:12+0300
Токарь-универсал,50000.0,100000.0,RUR,Новосибирск,2022-12-05T07:17:09+0300
Шлифовщик,45000.0,60000.0,RUR,Навашино,2022-12-05T07:37:01+0300
Токарь-универсал,70000.0,110000.0,RUR,Уфа,2022-12-05T07:52:49+0300
Токарь-универсал,50000.0,65000.0,RUR,Иркутск,2022-12-05T05:44:11+0300
Инженер по ремонту,30000.0,40000.0,RUR,Томск,2022-12-05T04:42:23+0300
Ведущий специалист отдела информационных технологий,,,,Тюмень,2022-12-05T07:25:17+0300
Web-разработчик (API),,,,Екатеринбург,2022-12-05T06:59:51+0300
Оператор станков ЧПУ (токарно-фрезерная группа),50000.0,70000.0,RUR,Новосибирск,2022-12-05T07:22:04+0300
Наладчик технологического оборудования,50000.0,62000.0,RUR,Кулебаки,2022-12-05T07:38:41+0300
Токарь,80000.0,100000.0,RUR,Новосибирск,2022-12-05T07:17:20+0300
Руководитель проектов,80000.0,80000.0,RUR,Новосибирск,2022-12-05T05:47:14+0300
Механик,,,,Степногорск,2022-12-05T06:14:02+0300
Оператор автоматических и полуавтоматических линий станков и установок,38600.0,,RUR,Кандры,2022-12-05T06:43:14+0300
Аналитик в отдел продаж,35000.0,40000.0,RUR,Томск,2022-12-05T05:02:17+0300
Ведущий инженер-программист,60000.0,65000.0,RUR,Новокузнецк,2022-12-05T05:14:31+0300
Инженер-механик,,35000.0,RUR,Чита,2022-12-05T06:55:21+0300
Механик,40000.0,,RUR,Красноярск,2022-12-05T06:08:08+0300
JavaScript разработчик (Middle),,180000.0,RUR,Екатеринбург,2022-12-05T07:35:13+0300
Наладчик технологического оборудования,50000.0,62000.0,RUR,Вознесенское (Нижегородская область),2022-12-05T07:38:54+0300
Специалист по сопровождению информационных систем,,,,Новосибирск,2022-12-05T04:19:44+0300
Механик сервисного центра,30000.0,,RUR,Абакан,2022-12-05T07:38:12+0300
Фрезеровщик,45000.0,45000.0,RUR,Миасс,2022-12-05T06:22:51+0300
Главный эксперт,92100.0,,RUR,Екатеринбург,2022-12-05T07:17:22+0300
Фрезеровщик,1000.0,,BYR,Смолевичи,2022-12-05T07:52:38+0300
Слесарь механо - ремонтного цеха,45000.0,,RUR,Уфа,2022-12-05T07:11:55+0300
Главный инженер (генподрядное строительство муниципальных объектов),150000.0,,RUR,Иркутск,2022-12-05T06:10:15+0300
Программист / системный администратор,30000.0,35000.0,RUR,Юрга,2022-12-05T04:55:33+0300
"Токарь ДИП 300, ДИП 500",40000.0,,RUR,Глазов,2022-12-05T07:49:31+0300
Механик по транспорту,,,,Нижневартовск,2022-12-05T07:11:00+0300
.Net Developer (Vietnam),2500.0,,USD,Москва,2022-12-05T06:52:04+0300
Разработчик,65000.0,,RUR,Новосибирск,2022-12-05T07:29:17+0300
Эксперт - аналитик по вознаграждению,,,,Алматы,2022-12-05T05:14:49+0300
Оператор станков с программным управлением,50000.0,90000.0,RUR,Новосибирск,2022-12-05T07:18:01+0300
Токарь,63000.0,80000.0,RUR,Красноярск,2022-12-05T04:49:55+0300
Токарь-универсал,25000.0,35000.0,RUR,Краснокамск,2022-12-05T05:56:46+0300
Инженер по защите информации,49000.0,49000.0,RUR,Улан-Удэ,2022-12-05T06:33:16+0300
Старший программист 1С,,,,Новосибирск,2022-12-05T07:44:42+0300
Дизайнер костюма (одежды),,100000.0,RUR,Омск,2022-12-05T06:36:39+0300
Директор по информационным технологиям,,,,Новосибирск,2022-12-05T05:47:13+0300
Инженер-программист,30000.0,,RUR,Самара,2022-12-05T07:52:32+0300
